Key,Source,Context,Changes,English,French,German,Klingon,Spanish
bonus,,Category,KgNone,Bonus,Bonus,Bonus,,Bonos
challenge,,Category,KgNone,Challenge,Défi,Herausforderung,,Desafío
quest,,Category,KgNone,Quest,Quête,Quest,,Misión
questChain,,Category,KgNone,Quest Chain,Série de quêtes,Questserie,,Cadena de misiones
treasure,,Category,KgNone,Treasure,Trésor,Schatz,,Tesoros
challenge_blitzdefense,,Challenge Info,,Blitz Defense,,,,
challenge_blitzdefense_offer,,Challenge Info,,"Hey there Zombie food,\nIf you found this note then you know we are watching you. You've made it this far so maybe you are not useless after all. We might be looking for someone like you if you can finish this challenge.\n\nCrazy J\n\nChallenge: Kill some zombie football players",,,,
challenge_blitzdefense_subtitle,,Challenge Info,,Kill some Zombie Football players,,,,
challenge_buythefarm,,Challenge Info,KgNone,Buy the Farm,La ferme,Tierisch gut,,Compra la granja
challenge_buythefarm_offer,,Challenge Info,EnChanged KgNone,"Well Survivor,\nI guess you found the note we left you. Now that the cat's out of the bag let's get down to business. We've been watching you and think you might make a good recruit. But before we open our doors to a stranger let's see if you can do this simple job.\n\nI'm slicker than cat shit on linoleum... Willie\n\nChallenge: Kill some Animals","Alors la terreur,\nFaut croire que tu as trouvé le message qu'on t'a laissé. Ça, c'est fait, passons aux choses sérieuses. Après avoir vu ce dont tu es capable, on trouve que tu ferais une bonne recrue. Mais avant qu'on t'accepte, voyons si tu peux faire un truc aussi simple que cette tâche.\n\nWillie le plus rusé des merdeux\n\nDéfi : tuer des animaux","Also gut, Überlebender!\nDu hast wohl die Notiz gefunden, die wir für dich hinterlassen haben. Jetzt da die Katze aus dem Sack ist, können wir gleich zum Punkt kommen. Wir haben dich beobachtet und denken, dass du ein guter Rekrut wärst. Doch bevor wir einen Fremden aufnehmen, müssen wir erst sehen, ob du diese einfache Aufgabe erledigen kannst.\n\nIch bin glatter als Katzenscheiße auf Linoleum … Willie\n\nHerausforderung: Töte ein paar Tiere",,"Bueno, sobreviviente:\nCreo que has encontrado la nota que te dejé. Ahora que ya se descubrió el pastel, vamos a lo que nos va. Te hemos estado siguiendo y creemos que puedes ser un buen recluta. Pero antes de abrirle las puertas a un extraño, veamos si puedes hacer un trabajillo muy simple.\n\nWillie, más escurridizo que una mierda de gato en linóleo.\n\nDesafío: Mata a un par animales."
challenge_buythefarm_subtitle,,Challenge Info,KgNone,Kill some Animals,Tuer des animaux,Töte ein paar Tiere,,Mata a un par animales.
challenge_cableguysnevermadeit,,Challenge Info,,Cable Guys Never Made It,,,,
challenge_cableguysnevermadeit_offer,,Challenge Info,,"Dear Dumbass,\nI'm sure you are busy with your pathetic attempt to survive. But I have a proposition, finish this task for me and you can join the craziest gang in Navezgane. Or you can try to survive on your own.\n\n'Puts the F in Crazy' Jake\n\nChallenge: Kill some Zombie Utility Workers",,,,
challenge_cableguysnevermadeit_subtitle,,Challenge Info,,Kill some Zombie Utility Workers,,,,
challenge_copanattitude,,Challenge Info,KgNone,Cop an Attitude,Filature,Dein Freund und Helfer,,Siempre llevando la contra
