Key,Source,Context,Changes,English,French,German,Klingon,Spanish,Polish
airConditioner,blocks,Block,KgNone,Air Conditioner,Climatiseur,Klimaanlage,,Aire acondicionado,Klimatyzator
airConditionVentFan,blocks,Block,New,Vent Fan,,,,,
airConditionVentFanDouble,blocks,Block,New,"Vent Fan, Double",,,,,
alphabetLetterSignGroupDesc,blocks,Block,EnChanged,Create your own billboards with these single letter signs and numbers.,Créez vos propres panneaux grâce à ces lettres.,Erstelle mit diesen Buchstaben und Zahlen deine eigenen Plakatwände.,,Crea tus propios carteles con estas letras.,Stwórz własne billboardy z tymi pojedynczymi znakami.
arrowHelper,blocks,Block,New,Arrow Helper,,,,,
arrowSlit,blocks,Block,New,Arrow Slit,,,,,
awningBlock,blocks,Block,KeyChanged EnChanged,Awning Block,Bloc en toile marron,Stoffplane – Block,,Bloque canela de toldo,Blok - zadaszenie
awningCNRFull,blocks,Block,KeyChanged EnChanged,Awning Corner Full,Angle complet en toile marron,Stoffplane – Komplette Ecke,,Esquina canela de toldo,
awningCNRInside,blocks,Block,KeyChanged EnChanged,Awning Corner Inside,Angle intérieur en toile marron,Stoffplane – Innenecke,,Esquina interior canela de toldo,
awningCNRRound,blocks,Block,KeyChanged EnChanged,Awning Corner Round,Angle arrondi en toile marron,Stoffplane – Abgerundete Ecke,,Esquina redonda canela de toldo,
awningCNRRoundTop,blocks,Block,New,Awning Corner Round Top,,,,,
awningCTRSheet,blocks,Block,New,Awning Sheet Centered,,,,,
awningGable,blocks,Block,KeyChanged EnChanged,Awning Gable,Pignon en toile marron,Stoffplane – Giebel,,Frontón canela de toldo,
awningGroupDesc,blocks,Block,KgNone,An awning made from cloth.\nThis will greatly reduce fall damage.,Une toile en tissu.,Eine Stoffplane.,,Un toldo hecho de tela.,
awningPyramid,blocks,Block,KeyChanged EnChanged,Awning Pyramid,Pyramide en toile marron,Stoffplane – Pyramide,,Pirámide canela de toldo,
awningRamp,blocks,Block,KeyChanged EnChanged,Awning Ramp,Rampe en toile marron,Stoffplane – Rampe,,Rampa canela de toldo,
awningRampSheet,blocks,Block,New,Awning Ramp Sheet,,,,,
awningRampSheetCNRInside,blocks,Block,New,Awning Ramp S Inside corner,,,,,
awningRampSheetEdgeLeft,blocks,Block,New,Awning Ramp S Edge Left,,,,,
awningRampSheetEdgeRight,blocks,Block,New,Awning Ramp S Edge Right,,,,,
awningSheet,blocks,Block,New,Awning Sheet,,,,,
barracksChair,blocks,Block,New,Barracks Chair,,,,,
barStool,blocks,Block,New,Bar Stool,,Barhocker,,,Stołek barowy
bed01,blocks,Block,KgNone,An Old Bed,Un vieux lit,Altes Bett,,Una cama vieja,Stare łóżko
bed01Frame,blocks,Block,KgNone,Iron Bed Frame,Cadre de lit en fer,Eisenbettgestell,,Bastidor de cama de hierro,Żelazna rama łóżka
bed02,blocks,Block,KgNone,King Size Bed,Grand lit,Doppelbett,,Cama king size,Ogromne łóżko
bedGroupDesc,blocks,Block,EnChanged,Placing a bed on the ground will allow you to respawn there when you die. Placing a new bed or picking up the last placed bed will permanently clear all previous respawn points. The bed shows on your map and compass and prevents zombie spawning near it.,"En le plaçant à terre, vous pourrez réapparaître à cet endroit lorsque vous mourrez et il sera indiqué sur votre carte.","Wenn du dies platzierst, kannst du dort wiedererscheinen, falls du stirbst. Außerdem wird der Standort auf deiner Karte angezeigt.",,"Si la colocas en el suelo, revives allí cada vez que mueras. Además, se mostrará el lugar en el mapa.",
bedroll,blocks,Block,KgNone,Bedroll,Sac de couchage,Schlafsack,,Saco de dormir,Śpiwór
birdBathPlanter,blocks,Block,New,Bird Bath Planter,,,,,
boardedWindowsSheet4,blocks,Block,KgNone,Window Boards,Rebords de fenêtre,Fensterbretter,,Tapias,
bodyBagBlack,blocks,Block,New,Body Bag Black,,,,,
bodyBagBlackFlies,blocks,Block,New,"Body Bag Black, Flies",,,,,
bodyBagPair,blocks,Block,New,Body Bag Pair,,,,,
bodyBagPairMixed,blocks,Block,New,Body Bag Mixed,,,,,
bodyBagPairYellow,blocks,Block,New,Body Bag Pair Yellow,,,,,
bodyBagPile,blocks,Block,New,Body Bag Pile,,,,,
bodyBagPileMix,blocks,Block,New,Body Bag Pile Mix,,,,,
bodyBagYellow,blocks,Block,New,Body Bag Yellow,,,,,
bodyBagYellowFlies,blocks,Block,New,"Body Bag Yellow, Flies",,,,,
brickArch,blocks,Block,New,Brick Arch 2m,,,,,
brickArchCurveBase,blocks,Block,New,Brick Arch Curve Base,,,,,
brickArchCurveFiller,blocks,Block,New,Brick Arch Curve Filler,,,,,
brickArchCurveMiddle,blocks,Block,New,Brick Arch Curve Middle,,,,,
brickArchCurveTop,blocks,Block,New,Brick Arch Curve Top,,,,,
brickArchCurveTopMiddle,blocks,Block,New,Brick Arch Curve Top Middle,,,,,
brickArchCurveTopMiddleTopper,blocks,Block,New,Brick Arch Curve Top Middle Topper,,,,,
brickArchCurveWall,blocks,Block,New,Brick Arch Curve Wall,,,,,
brickArchCurveWallCap,blocks,Block,New,Brick Arch Curve Wall Cap,,,,,
brickBlock,blocks,Block,KgNone,Bricks,Briques,Ziegel,,Ladrillos,Cegły
brickBlockBaseboard1,blocks,Block,New,Brick Block Baseboard 1,,,,,
brickBlockBaseboard4,blocks,Block,New,Brick Block Baseboard 4,,,,,
brickBlockBaseboardChairRail1,blocks,Block,New,Brick Block Baseboard Chair Rail 1,,,,,
brickBlockBaseboardChairRail4,blocks,Block,New,Brick Block Baseboard Chair Rail 4,,,,,
brickBlockTileBroken01,blocks,Block,New,"Brick Block, Broken Tile",,,,,
brickCNRFull,blocks,Block,KgNone,Brick Full Corner,Angle complet en brique,Ziegel – Komplette Ecke,,Esquina de ladrillo,
brickCNRInside,blocks,Block,KgNone,Brick Inside Corner,Angle intérieur en brique,Ziegel – Innenecke,,Esquina interior de ladrillo,
brickCNRRamp,blocks,Block,KgNone,Brick Ramp Corner,Angle de rampe en brique,Ziegel – Rampenecke,,Esquina de rampa de ladrillo,
brickCNRRampFiller,blocks,Block,New,Brick Ramp Corner Filler,,Ziegel – Rampenecke Füller,,,
brickCNRRound,blocks,Block,KgNone,Brick Corner Round,Angle arrondi en brique,Ziegel – Abgerundete Ecke,,Esquina redonda de ladrillo,
brickCNRRoundTop,blocks,Block,New,Brick Corner Round Top,,,,,
brickCornerstone,blocks,Block,New,Brick Cornerstone,,,,,
brickCTRpole,blocks,Block,New,Brick Pole Centered,,,,,
brickCTRQuarter,blocks,Block,New,Brick 1/4 Block Centered,,,,,
brickDestroyedBlock01,blocks,Block,KeyChanged,Brick Destroyed Block 01,Bloc de briques délabrées 1,"Zerbrochener, verwitterter Ziegel 1 – Block",,Bloque grieta de ladrillo deteriorado 1,
brickDestroyedBlock02,blocks,Block,KeyChanged,Brick Destroyed Block 02,Bloc de briques délabrées 2,"Zerbrochener, verwitterter Ziegel 2 – Block",,Bloque grieta de ladrillo deteriorado 2,
brickDestroyedBlock03,blocks,Block,KeyChanged,Brick Destroyed Block 03,Bloc de briques délabrées 3,"Zerbrochener, verwitterter Ziegel 3 – Block",,Bloque grieta de ladrillo deteriorado 3,
brickGable,blocks,Block,New,Brick Gable,,,,,
brickGable1m,blocks,Block,New,Brick Gable 1m,,,,,
brickGableInvertedHalf,blocks,Block,New,Brick Gable Inverted Half,,,,,
brickGableInvertedQuarter,blocks,Block,New,Brick Gable Inverted Quarter,,,,,
brickGableInvertedSteep,blocks,Block,New,Brick Gable Inverted Steep,,,,,
brickGableQuarter,blocks,Block,New,Brick Gable Quarter,,,,,
brickGroupDesc,blocks,Block,KgNone,Brick walls offer decent protection and can be upgraded to concrete later.,Les murs en brique vous offrent une bonne protection et peuvent ensuite être améliorés en béton.,Ziegelmauern bieten ganz guten Schutz und können später zu Beton aufgewertet werden.,,Las paredes de ladrillo ofrecen una buena protección y se pueden mejorar a hormigón.,
brickHalf,blocks,Block,New,Brick 1/2 Block,,,,,
brickHalfCentered,blocks,Block,New,Brick 1/2 Block CTR,,,,,
brickHalfCNRInside2,blocks,Block,New,Brick 1/2 Block Corner Inside 2,,,,,
brickHalfRampStairs50,blocks,Block,New,Brick 1/2 Ramp,,,,,
brickHalfRampStairs50Filler,blocks,Block,New,Brick 1/2 Ramp Filler,,,,,
brickPlate,blocks,Block,KgNone,Brick Plate,Plaque en brique,Ziegel – Platte,,Placa de ladrillo,
brickPlateOffset,blocks,Block,New,Brick Plate Offset,,,,,
brickPoleSCTR,blocks,Block,New,Brick Pole SCTR,,,,,
brickPyramid1m,blocks,Block,New,Brick Pyramid 1m,,,,,
brickQuarterCNR,blocks,Block,New,Brick 1/4 Corner,,,,,
brickQuarterCNR3Way,blocks,Block,New,Brick 1/4 Corner 3Way,,,,,
brickQuarterSCtr,blocks,Block,New,Brick 1/4 SCtr,,,,,
brickQuarterTeeSCtr,blocks,Block,New,Brick 1/4 T SCtr,,,,,
brickRamp,blocks,Block,KgNone,Brick Ramp,Rampe en brique,Ziegelrampe,,Rampa de ladrillo,
brickStairs25,blocks,Block,New,Brick Stairs 25,,,,,
brickStairs25CornerCNR,blocks,Block,New,Brick Stairs Corner,,Ziegel Stufenecke,,,
brickStairsFilledRailingLeft,blocks,Block,New,"Brick Stairs, Railing Left",,,,,
brickStairsFilledRailingRight,blocks,Block,New,"Brick Stairs, Railing Right",,,,,
brickTubeCenter,blocks,Block,New,Brick Tube 3m Center,,,,,
brickTubeCorner,blocks,Block,New,Brick Tube 3m Corner,,,,,
